name,year_of_data,district,Municipal_status,Distance_from_Tel Aviv _District border_Km,Number_of_councillors,Area,Population_density,Total population,Jews_and_others,Jews_percent_of_Jews_and_others,Arab_percentages,Muslims_percent_of_the_Arab_population,Christians_percent_of_the_Arab_population,Druze_percentage_of_the_Arab_population,Total_men,Total_woman,Age_0-4,Age_5-9,Age_10-14,Age_15-19,Age_20-29,Age_30-44,Age_45-59,Age_60-64,Age_65+,Age_0-17,Age_75+,Percentage_of_population_growth_compared_to_the_previous_year,migration_balance,Number_of_families_with_child,Average_monthly_salary_of_employee,Average_monthly_income_of_the_self-employed,Number_of_employees,Number_of_self-employed,Percentage_degree_35-55,Percentage_of_higher_education_within_8_years_out_of_school,Percentage_of_students_20-25,Percentage_of_total_students,Start_of_construction_apartments,Socioeconomic_cluster,Cluster_Most_peripheral,Residence_Percentage,Education_Percentage,Health_Percentage_of_Area,Public_utilities_Percentage,Culture_percentage,Commercial_Offices_Percentage,Industry_Percentage,Infrastructure_transportation_percentage,Agricultural_structures_percentage,Gardening_park_Percentage,Forest_percent,Plant_Percentage,crops Percentage,Open_space_percentage,Weighted_Average_Salary
אבו גוש,2016,ירושלים,מועצה מקומית,41,9,1.89,3756.613756613757,7100,0,0,100,99.7,0.3,0,3.6,3.6,10.5,9.9,10.2,9.7,17.3,19.5,14.8,2.9,5.4,36.4,1.8,2.3,-3,"1,025","6,276","6,657","2,728",130,10,35.2,20.8,3.7,27,3,6,56.3,2.1,0,1.6,0.5,1.1,0.5,4.7,0,0,11.6,1.1,0,20.5,6293.330301
אבו גוש,2017,ירושלים,מועצה מקומית,41,9,1.89,3862.4338624338625,7300,0,0,0,99.8,0,0,3.7,3.6,10,10.1,9.7,9.8,17.7,19.3,14.7,3.3,5.5,35.9,1.8,2.7,11,"1,018","6,591","7,731","2,948",132,10,35.2,20.8,3.7,27,3,6,56.3,2.1,0,1.6,0.5,1.1,0.5,4.7,0,0,11.6,1.1,0,20.5,6639.857143
אבו גוש,2018,ירושלים,מועצה מקומית,41,9,1.89,3991.0052910052914,7543,0,0,100,99.8,0,0,"3,800","3,743",10.1,9.4,9.8,9.5,17.6,20,14.6,3.4,5.7,35,1.8,2.9,-2,"1,031","7,055","8,772","3,131",133,10.7,30.4,20.4,3.7,34,3,6,56.3,2.1,0,1.6,0.5,1.1,0.5,4.7,0,0,11.6,1.1,0,20.5,7124.963542
אבו גוש,2019,ירושלים,מועצה מקומית,41,9,1.89,4073.0158730158732,7698,0,0,100,99.7,0,0,"3,878","3,820",10.2,9.4,9.6,9.3,17.3,20.1,14.7,3.7,5.7,34.8,1.9,2.1,10,"1,056","7,271","10,385","3,327",157,13,37.44498902706657,21.5,3.7,31,3,6,56.3,0,0,1.6,0.5,1.1,0.5,4.7,0,0,11.6,1.1,0,20.5,7411.326636
אבו גוש,2020,ירושלים,מועצה מקומית,41,9,1.89,4111.640211640211,7771,0,0,98.9,99.8,0,0,"3,891","3,880",10.2,9.5,9.4,8.9,17,20.1,14.8,4,6.1,34.4,2,0.9,378,"1,081","7,294","10,065","3,393",151,14.1,32.2,21.6,3.8,12,3,6,56.3,2.1,0,1.6,0.5,1.1,0.5,4.7,0,0,11.6,1.1,0,20.5,7412.064616
אבו גוש,2021,ירושלים,מועצה מקומית,41.3,9,1.89,4202.116402116402,7942,0,0,99,99.9,0.1,0,"3,949","3,994",9.6,9.2,9.3,8.7,16.8,20.2,14.9,4.3,7,33.3,2.4,0.8,30,"1,098","8,399","10,993","3,528",134,16.1,34.6,18.9,3.4,77,3,6,63.8,2.7,0,2.1,0,0.5,0,1.1,0,0,6.9,1.6,0.5,20.8,8493.919716
אבו גוש,2022,ירושלים,מועצה מקומית,41.3,9,1.89,4169.312169312169,7880,0,0,98.9,99.8,0,0,"3,937","3,943",9.8,9.7,9.1,9,16.5,20.2,15,4.1,6.5,34,2.2,1.4,4,"1,098","7,294","10,065","3,393",151,15.1,41.2,21.1,3.6,19,3,6,63.8,2.7,0,2.1,0,0.5,0,1.1,0,0,6.9,1.6,0.5,20.8,7412.064616
אבו סנאן,2016,הצפון,מועצה מקומית,106.5,11,6.7,2014.9253731343283,13500,0,0,100,54.4,15.4,30.2,6.9,6.7,8.8,8.8,9.8,10.5,17.4,21,14.5,3.4,5.9,33.8,2.1,1.2,8,"1,878","6,060","7,940","4,900",435,11,25.1,10.2,2.2,43,3,4,24.6,0.6,0,0,0,0,0.2,0.9,0,0,0,32,15.9,25.8,6213.289597
אבו סנאן,2017,הצפון,מועצה מקומית,106.5,11,6.7,2044.776119402985,13700,0,0,0,54.3,15.4,30.3,7,6.7,8.7,8.8,9.2,10.5,17.7,20.7,14.9,3.3,6.2,33.3,2.2,1.3,-69,"1,890","6,226","7,942","5,086",467,11,25.1,10.2,2.2,43,3,4,24.6,0.6,0,0,0,0,0.2,0.9,0,0,0,32,15.9,25.8,6370.313344
אבו סנאן,2018,הצפון,מועצה מקומית,106.5,11,6.7,2076.865671641791,13915,0,0,100,54.4,15.3,30.3,"7,081","6,835",9,8.2,8.9,10.4,18.1,20.4,15.2,3.4,6.4,32.5,2.3,1.6,47,"1,890","6,689","8,121","5,343",477,11.1,24.5,10.1,2.1,26,3,4,24.6,0.6,0,0,0,0,0.2,0.9,0,0,0,32,15.9,25.8,6806.364948
